logged_utc,rule,game_id,season,week,start_utc,away,home,total_open,pred_total,total_edge,total_pick,exp_total
2026-09-23 16:15,edge4,401864509,2026,4,2026-09-27 02:30:00+00:00,Air Force,Nevada,48.75,56.8,8.05,over,
2026-09-23 16:15,edge4,401856699,2026,4,2026-09-26 19:30:00+00:00,Ole Miss,Florida,59.25,66.77,7.52,over,
2026-09-23 16:15,edge4,401862779,2026,4,2026-09-25 20:00:00+00:00,Army,Temple,49.25,56.32,7.07,over,
2026-09-23 16:15,edge4,401856696,2026,4,2026-09-26 23:00:00+00:00,South Carolina,Alabama,50.25,55.65,5.4,over,
2026-09-23 16:15,edge4,401856815,2026,4,2026-09-26 19:30:00+00:00,TCU,UCF,50.0,44.7,-5.3,under,
2026-09-23 16:15,edge4,401861970,2026,4,2026-09-26 19:30:00+00:00,UConn,Miami (OH),50.75,55.48,4.73,over,
2026-09-23 16:15,edge4,401856881,2026,4,2026-09-26 23:00:00+00:00,Oklahoma State,West Virginia,58.5,53.89,-4.61,under,
2026-09-23 16:15,edge4,401858238,2026,4,2026-09-26 22:30:00+00:00,Central Michigan,Miami,53.75,49.29,-4.46,under,
2026-09-23 16:15,edge4,401866429,2026,4,2026-09-27 01:00:00+00:00,Massachusetts,Sacramento State,49.5,53.9,4.4,over,
2026-09-23 16:15,edge4,401858234,2026,4,2026-09-26 02:30:00+00:00,Clemson,California,49.0,53.18,4.18,over,
2026-09-23 16:15,edge4,401858464,2026,4,2026-09-26 21:00:00+00:00,Nebraska,Michigan State,50.5,54.6,4.1,over,
2026-09-23 16:15,edge4,401858240,2026,4,2026-09-27 02:30:00+00:00,Georgia Tech,Stanford,48.25,52.31,4.06,over,
2026-09-23 16:37,shootout_under,401858467,2026,4,2026-09-26 18:00:00+00:00,Notre Dame,Purdue,57.0,59.6,2.6,under,63.69
2026-09-23 16:37,shootout_under,401856699,2026,4,2026-09-26 19:30:00+00:00,Ole Miss,Florida,59.25,66.77,7.52,under,68.54
2026-09-23 16:37,shootout_under,401858469,2026,4,2026-09-26 23:30:00+00:00,Oregon,USC,60.25,62.81,2.56,under,68.36
