season,week,game_id,ticker,bet,side,strike,period,stat,subject_name,price,cost,p_side,edge,tier,snapshot_utc
2026,4,401856814,KXNCAAF1QTOTAL-26SEP26KSUCIN-11,1st quarter total over 10.5,yes,10.5,Q1,total,,0.52,0.54,0.584339901783135,0.04433990178313496,light,2026-09-24 03:13:52.579551+00:00
2026,4,401856881,KXNCAAF1QTOTAL-26SEP26OKSTWVU-14,1st quarter total under 13.5,no,13.5,Q1,total,,0.53,0.55,0.5956158202824376,0.0456158202824376,light,2026-09-24 03:13:52.579551+00:00
2026,4,401864576,KXNCAAF1QTOTAL-26SEP26USAUK-14,1st quarter total under 13.5,no,13.5,Q1,total,,0.52,0.54,0.6338955521828733,0.09389555218287327,best,2026-09-24 03:13:52.579551+00:00
2026,4,401856805,KXNCAAF2QSPREAD-26SEP26SHSUTTU-TTU13,Texas Tech doesn't win 2nd quarter by 12.5+,no,12.5,Q2,margin,Texas Tech,0.51,0.53,0.611663691132179,0.08166369113217897,best,2026-09-24 03:13:52.579551+00:00
2026,4,401856805,KXNCAAF3QTOTAL-26SEP26SHSUTTU-14,3rd quarter total under 13.5,no,13.5,Q3,total,,0.53,0.55,0.6243917074946508,0.07439170749465074,best,2026-09-24 03:13:52.579551+00:00
2026,4,401856804,KXNCAAF1HSPREAD-26SEP26ARIZWSU-ARIZ7,Arizona doesn't win 1st half by 6.5+,no,6.5,1H,margin,Arizona,0.5,0.52,0.564011882097041,0.04401188209704099,light,2026-09-24 03:13:52.579551+00:00
2026,4,401856696,KXNCAAF3QTOTAL-26SEP26SCARALA-13,3rd quarter total under 12.5,no,12.5,Q3,total,,0.53,0.55,0.6280217672154758,0.07802176721547571,best,2026-09-24 03:13:52.579551+00:00
2026,4,401858470,KXNCAAF1HTOTAL-26SEP26MINNWASH-24,1st half total under 23.5,no,23.5,1H,total,,0.5,0.52,0.5805847868371297,0.060584786837129645,light,2026-09-24 03:13:52.579551+00:00
2026,4,401858238,KXNCAAF1HSPREAD-26SEP26CMUMIA-MIA25,Miami doesn't win 1st half by 24.5+,no,24.5,1H,margin,Miami,0.5,0.52,0.5900790882738254,0.07007908827382536,best,2026-09-24 03:13:52.579551+00:00
2026,4,401858465,KXNCAAF1HTOTAL-26SEP26ILLOSU-30,1st half total under 29.5,no,29.5,1H,total,,0.5,0.52,0.6045586964966428,0.08455869649664283,best,2026-09-24 03:13:52.579551+00:00
2026,4,401858462,KXNCAAF2QTOTAL-26SEP26UCLAMD-17,2nd quarter total under 16.5,no,16.5,Q2,total,,0.53,0.55,0.6116792977405068,0.06167929774050673,light,2026-09-24 03:13:52.579551+00:00
2026,4,401858461,KXNCAAF1HTOTAL-26SEP25NWIND-27,1st half total under 26.5,no,26.5,1H,total,,0.5,0.52,0.5903352532542882,0.07033525325428813,best,2026-09-24 03:13:52.579551+00:00
2026,4,401858465,KXNCAAF1QTOTAL-26SEP26ILLOSU-14,1st quarter total under 13.5,no,13.5,Q1,total,,0.51,0.53,0.5807717894341744,0.050771789434174375,light,2026-09-24 03:13:52.579551+00:00
2026,4,401856698,KXNCAAF2QTOTAL-26SEP26VANAUB-17,2nd quarter total under 16.5,no,16.5,Q2,total,,0.54,0.56,0.6170778596585815,0.057077859658581476,light,2026-09-24 03:13:52.579551+00:00
2026,4,401858466,KXNCAAF4QTOTAL-26SEP26WISPSU-11,4th quarter total over 10.5,yes,10.5,Q4,total,,0.52,0.54,0.5926473386905695,0.05264733869056948,light,2026-09-24 03:13:52.579551+00:00
2026,4,401856805,KXNCAAF1QSPREAD-26SEP26SHSUTTU-TTU8,Texas Tech wins 1st quarter by 7.5+,yes,7.5,Q1,margin,Texas Tech,0.5,0.52,0.6159385717337765,0.09593857173377651,best,2026-09-24 03:13:52.579551+00:00
2026,4,401858241,KXNCAAF1HTOTAL-26SEP26MOSUSMU-34,1st half total under 33.5,no,33.5,1H,total,,0.49,0.51,0.5716517825081399,0.06165178250813985,light,2026-09-24 03:13:52.579551+00:00
2026,4,401858239,KXNCAAF3QSPREAD-26SEP26DELUVA-UVA5,Virginia wins 3rd quarter by 4.5+,yes,4.5,Q3,margin,Virginia,0.49,0.51,0.5584092789090804,0.04840927890908042,light,2026-09-24 03:13:52.579551+00:00
2026,4,401864576,KXNCAAF3QSPREAD-26SEP26USAUK-UK5,Kentucky wins 3rd quarter by 4.5+,yes,4.5,Q3,margin,Kentucky,0.5,0.52,0.5813804751003312,0.06138047510033118,light,2026-09-24 03:13:52.579551+00:00
2026,4,401856814,KXNCAAF2QTOTAL-26SEP26KSUCIN-17,2nd quarter total under 16.5,no,16.5,Q2,total,,0.52,0.54,0.6038016501197303,0.06380165011973027,light,2026-09-24 03:13:52.579551+00:00
2026,4,401856702,KXNCAAF3QTOTAL-26SEP26TXAMLSU-11,3rd quarter total over 10.5,yes,10.5,Q3,total,,0.51,0.53,0.5788512623075204,0.04885126230752035,light,2026-09-24 03:13:52.579551+00:00
